"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"1",1,2,8,0,FALSE,"2020-09-12T11:30:00Z",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",70,0,76656,0,0,"Mesut Özil"
"2",1,9,19,0,TRUE,"2020-09-19T19:00:00Z",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",69,-16828,68335,995,17823,"Mesut Özil"
"3",1,23,11,0,FALSE,"2020-09-28T19:00:00Z",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",69,-11451,59793,675,12126,"Mesut Özil"
"4",1,29,15,0,TRUE,"2020-10-04T13:00:00Z",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-5324,56403,647,5971,"Mesut Özil"
"5",1,44,12,0,FALSE,"2020-10-17T16:30:00Z",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-4224,53689,616,4840,"Mesut Özil"
"6",1,49,9,0,TRUE,"2020-10-25T19:15:00Z",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-3184,51023,276,3460,"Mesut Özil"
"7",1,64,13,0,FALSE,"2020-11-01T16:30:00Z",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-3147,48026,57,3204,"Mesut Özil"
"8",1,69,2,0,TRUE,"2020-11-08T19:15:00Z",0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-1691,46467,38,1729,"Mesut Özil"
"9",2,2,8,0,FALSE,"2020-09-12T11:30:00Z",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,12184,0,0,"Sokratis Papastathopoulos"
"10",2,9,19,0,TRUE,"2020-09-19T19:00:00Z",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-4015,8234,51,4066,"Sokratis Papastathopoulos"
"11",2,23,11,0,FALSE,"2020-09-28T19:00:00Z",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1641,6874,9673,11314,"Sokratis Papastathopoulos"
"12",2,29,15,0,TRUE,"2020-10-04T13:00:00Z",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-739,6274,38,777,"Sokratis Papastathopoulos"
"13",2,44,12,0,FALSE,"2020-10-17T16:30:00Z",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-167,6624,233,400,"Sokratis Papastathopoulos"
"14",2,49,9,0,TRUE,"2020-10-25T19:15:00Z",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-392,6429,182,574,"Sokratis Papastathopoulos"
"15",2,64,13,0,FALSE,"2020-11-01T16:30:00Z",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-608,5829,18,626,"Sokratis Papastathopoulos"
"16",2,69,2,0,TRUE,"2020-11-08T19:15:00Z",0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-321,5530,10,331,"Sokratis Papastathopoulos"
"17",3,2,8,0,FALSE,"2020-09-12T11:30:00Z",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",55,0,69564,0,0,"David Luiz Moreira Marinho"
"18",3,9,19,1,TRUE,"2020-09-19T19:00:00Z",2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",55,-23455,49797,1738,25193,"David Luiz Moreira Marinho"
"19",3,23,11,1,FALSE,"2020-09-28T19:00:00Z",3,1,3,90,0,0,0,3,0,0,0,0,0,0,0,11,"20.2","3.2","0.0","2.3",55,711,61983,7407,6696,"David Luiz Moreira Marinho"
"20",3,29,15,2,TRUE,"2020-10-04T13:00:00Z",2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,13,"23.0","0.8","0.0","2.4",55,1264,69592,6180,4916,"David Luiz Moreira Marinho"
"21",3,44,12,2,FALSE,"2020-10-17T16:30:00Z",1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,12,"14.6","3.3","19.0","3.7",55,-1132,73952,5063,6195,"David Luiz Moreira Marinho"
