"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"1",1,2,8,0,FALSE,"2020-09-12T11:30:00Z",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",70,0,76656,0,0,"Mesut Özil"
"2",1,9,19,0,TRUE,"2020-09-19T19:00:00Z",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",69,-16828,68335,995,17823,"Mesut Özil"
"3",1,23,11,0,FALSE,"2020-09-28T19:00:00Z",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",69,-11451,59793,675,12126,"Mesut Özil"
"4",1,29,15,0,TRUE,"2020-10-04T13:00:00Z",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-5324,56403,647,5971,"Mesut Özil"
"5",1,44,12,0,FALSE,"2020-10-17T16:30:00Z",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-4224,53689,616,4840,"Mesut Özil"
"6",1,49,9,0,TRUE,"2020-10-25T19:15:00Z",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-3184,51023,276,3460,"Mesut Özil"
"7",1,64,13,0,FALSE,"2020-11-01T16:30:00Z",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-3147,48026,57,3204,"Mesut Özil"
"8",1,69,2,0,TRUE,"2020-11-08T19:15:00Z",0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-1691,46467,38,1729,"Mesut Özil"
"9",1,82,10,0,FALSE,"2020-11-22T16:30:00Z",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-1364,45182,14,1378,"Mesut Özil"
"10",1,89,20,0,TRUE,"2020-11-29T19:15:00Z",1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-525,44753,12,537,"Mesut Özil"
"11",1,106,17,0,FALSE,"2020-12-06T16:30:00Z",2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-498,44303,19,517,"Mesut Özil"
"12",1,109,4,0,TRUE,"2020-12-13T19:15:00Z",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-324,44061,19,343,"Mesut Özil"
"13",1,119,16,0,TRUE,"2020-12-16T18:00:00Z",1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-238,43855,8,246,"Mesut Özil"
"14",1,133,7,0,FALSE,"2020-12-19T17:30:00Z",2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-197,43696,5,202,"Mesut Özil"
"15",1,139,5,0,TRUE,"2020-12-26T17:30:00Z",3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-301,43434,16,317,"Mesut Özil"
"16",1,149,3,0,FALSE,"2020-12-29T18:00:00Z",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-151,43310,3,154,"Mesut Özil"
"17",1,168,18,0,FALSE,"2021-01-02T20:00:00Z",0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",68,-152,43178,15,167,"Mesut Özil"
"18",2,2,8,0,FALSE,"2020-09-12T11:30:00Z",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,12184,0,0,"Sokratis Papastathopoulos"
"19",2,9,19,0,TRUE,"2020-09-19T19:00:00Z",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-4015,8234,51,4066,"Sokratis Papastathopoulos"
"20",2,23,11,0,FALSE,"2020-09-28T19:00:00Z",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1641,6874,9673,11314,"Sokratis Papastathopoulos"
"21",2,29,15,0,TRUE,"2020-10-04T13:00:00Z",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-739,6274,38,777,"Sokratis Papastathopoulos"
"22",2,44,12,0,FALSE,"2020-10-17T16:30:00Z",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-167,6624,233,400,"Sokratis Papastathopoulos"
